""	Energy 	0 	15 	30 	""	45	60	75
Exp	1.033 	0.046 	0.040 	0.062 	""	0.110 	0.195 	0.368
Theory 	1.0 	0.042 	0.047 	0.071 	""	0.118 	0.202 	0.375
Exp	0.521 	0.050 	0.060 	0.085 	""	0.133 	0.228 	0.396
Theory 	0.5 	0.056 	0.063 	0.087 	""	0.143 	0.233 	0.396
Exp	0.314 	0.052 	0.056 	0.082 	""	0.139 	0.249 	0.411
Theory 	0.3 	0.065 	0.072 	0.098 	""	0.151 	0.244 	0.409
Exp	0.109 	0.074 	0.084 	0.111 	""	0.170 	0.266 	0.430
Theory 	0.109 	0.074 	0.080 	0.108 	""	0.159 	0.251 	0.417
Exp	0.084 	0.079 	0.086 	0.113 	""	0.161 	0.260 	0.428
Theory 	0.084 	0.075 	0.084 	0.110 	""	0.164 	0.257 	0.418
Exp	0.058 	0.074 	0.080 	0.103 	""	0.158 	0.249 	0.410
Theory 	0.058 	0.079 	0.085 	0.112 	""	0.164 	0.261 	0.417
Exp	0.032 	0.088 	0.098 	0.117 	""	0.152 	0.272	0
Theory 	0.032 	0.082 	0.086 	0.114 	""	0.165 	0.256 	0.418
