""	Energy 	0	15	30	""	45	60	75	
Exp	1.033 	0.092 	0.104 	0.138 	""	0.214 	0.337 	0.531	
Theory 	1.0 	0.097 	0.108 	0.150 	""	0.227 	0.344 	0.545	
Exp	0.521 	0.111 	0.125 	0.162 	""	0.233 	0.354 	0.533	
Theory 	0.5 	0.116 	0.127 	0.166 	""	0.252 	0.367 	0.548	
Exp	0.314 	0.122 	0.138 	0.176 	""	0.252 	0.363 	0.551	
Theory 	0.3 	0.125 	0.137 	0.178 	""	0.252 	0.371 	0.551	
Exp	0.109 	0.136 	0.154 	0.181 	""	0.257 	0.365 	0.558	
Theory 	0.109 	0.132 	0.142 	0.183 	""	0.255 	0.370 	0.553	
Exp	0.084 	0.140 	0.151 	0.184 	""	0.240 	0.368 	0.559	
Theory 	0.084 	0.132 	0.147 	0.185 	""	0.248 	0.378 	0.552	
Exp	0.058 	0.140 	0.153 	0.189 	""	0.247 	0.340 	0.541	
Theory 	0.058 	0.136 	0.146 	0.186 	""	0.257 	0.377 	0.549	
Exp	0.032 	0.158 	0.160 	0.178 	""	0.231 	0.332	0	
Theory 	0.032 	0.139 	0.145 	0.186 	""	0.255 	0.373 	0.548	
