""	Energy 	0	15	30	""	45	""	60	75	82.5
Exp	1.0 	0.028 	0.032 	0.056 	""	0.114 	""	0.203 	0.453 	0.631
Theory 	1.0 	0.024 	0	0.054 	""	0.112 	""	0.236 	0.457 	0.627
Exp	0.5 	0.031 	0.042 	0.068 	""	0.130 	""	0.247 	0.458 	0.626
Theory 	0.5 	0.032 	0	0.066 	""	0.127 	""	0.241 	0.456 	0.612
Exp	0.3 	0.038 	0.041 	0.076 	""	0.132 	""	0.246 	0.451 	0.610
Theory 	0.3 	0.037 	0	0.071 	""	0.130 	""	0.244 	0.469 	0.636
Exp	0.1 	0.045 	0.052 	0.083 	""	0.136 	""	0.249 	0.447	0
Theory 	0.1 	0.042 	0	0.077 	""	0.136 	""	0.252 	0.451	0
Exp	0.075 	0.046 	0.052 	0.079 	""	0.135 	""	0.255 	0.433	0
Theory 	0.075 	0.043 	0	0.075 	""	0.134 	""	0.252 	0.458	0
Exp	0.05 	0.054 	0.064 	0.087 	""	0.159 	""	0.258	0	0
Theory 	0.05 	0.045 	0	0.077 	""	0.139 	""	0.251 	0.460	0
Exp	0.025 	0.063 	0.087 	0.080 	""	0.127 	""	0.215	0	0
Theory 	0.025 	0.047 	0	0.080 	""	0.136 	""	0.247 	0.447	0
